q_tag,path,title,summary,created-on,last-modified
180,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/pubs,Sheikh Zayed Images placed on all ZU publications,"In addition to all the above-held initiatives for the Year of Zayed 2018, Zayed University has placed images and quotes by Late Sheikh Zayed on all publications: such as booklets, calendars, books, etc.",nan,nan
181,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/khair,Zayed Al Khair Exhibition,"The Ousha bint Hussein Cultural Center in cooperation with Zayed University, held the Zayed Al Khair Exhibition at the campus in Dubai, with the participation of 17 businesswomen entrepreneurs, from different emirates in the framework of supporting these national projects.",nan,nan
182,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/memory,Zayed's Centennial: A People's Memory and a Nation's Future Forum,"Under the patronage of H.E Sheikha Lubna bint Khalid Al Qasimi, President of Zayed University, The College of Humanities and Social Sciences at Zayed University has organized a special event dedicated to the founder of the UAE, late Sheikh Zayed bin Sultan.",nan,nan
183,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/grad18,The 2018 Students Graduation Ceremony,"The 2018 ZU graduation ceremonies were held under The Year of Zayed theme, as many pictures of the late founder of the UAE were placed around all corners of the hall. Students have also considered a space dedicated to his legacy in their graduation speeches",nan,nan
184,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/youth,"""The role of youth in planning the Centennial of UAE's Union"" workshop","Zayed University hosted a youth workshop in Dubai entitled ""The Role of Youth in Planning the Union's Centennial"" which comes in the framework of the youth seminars organized by the Emirates Youth Council. The seminar was attended by Prof Reyadh Al Mehaideb, Vice President of ZU, H.E Saeed Ali Al Rumaithi, Member of the Federal National Council. Dr Karima Al Mazroui, Acting Executive Director P12 Sector, Abu Dhabi Education Council.",nan,nan
185,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/mags,"""Zayed"" Special Edition Magazine ","The College of Humanities and Social Sciences, sponsored by the Hamdan Bin Mohammed Heritage Center, printed a Special Edition ""Zayed"" magazine dedicated to late founder's journey and historical moments, the publication was enclosed with the centre's 3rd edition Emirati Flashes Magazine. ",nan,nan
186,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/mfatima,"""Tailoring Workshop of our Mother Fatima"" – in Greece","Under the patronage of H.E Sheikha Lubna bint Khalid Al Qasimi, President of Zayed University, the 'Tailoring Workshop of our Mother Fatima' was inaugurated at the Ritsona and Larissa Camps, Greece, for Syrian Refugees. ",nan,nan
187,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/zayed-path,Zayed's Path Seminar ,"The Zayed University Happiness, Tolerance and Positivity Office organized a seminar entitled ""Zayed Path"" to participate in the Year of Zayed celebrations. Participants reviewed memories from the times of the late Sheikh Zayed bin Sultan Al Nahyan, his great impact and achievements witnessed beyond the present and the future.",nan,nan
188,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/faec,"First Annual Education Conference - held under ""Zayed's Legacy""","The annual conference, which held its first meeting for two days under the title, ""Zayed's Legacy"", aims to serve as a platform for practitioners, administrators and academics in the field of education to share, collaborate and explore innovative approaches to creating successful teaching and learning environments for students.",nan,nan
189,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/zumeff,"The ninth edition of the ZUMEFF festival was held under ""Year of Zayed""","The 9th annual Zayed University Middle East Film Festival (ZUMEFF) took place on the evenings of Feb 26 to Feb 28, 2018, at the vibrant cultural hub of Warehouse421 in Abu Dhabi’s Mina area. The event was held under the 'Year of Zayed' Award, which was landed by Hooreya Al Muflahi from Zayed University in Abu Dhabi for her short film, 'Sheikh Zayed's 100th birthday'. ",nan,nan
190,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/bfsu,ZU and Beijing Foreign Studies University (BFSU) join hands in (Year of Zayed) celebrations,"Zayed University inked a MoU with the Sheikh Zayed bin Sultan Cultural Centre and Mosque at Beijing Foreign Studies University (BFSU) in China, to unveil a series of activities held in China on October 2018.",nan,nan
191,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/projects/index,Zayed University Initiatives,nan,nan,nan
192,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/khair,Zayed Al Khair Exhibition,"The Ousha bint Hussein Cultural Center in cooperation with Zayed University, held the Zayed Al Khair Exhibition at the campus in Dubai, with the participation of 17 businesswomen entrepreneurs, from different emirates in the framework of supporting these national projects.",nan,nan
193,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/memory,Zayed's Centennial: A People's Memory and a Nation's Future Forum,"Under the patronage of H.E Sheikha Lubna bint Khalid Al Qasimi, President of Zayed University, The College of Humanities and Social Sciences at Zayed University has organized a special event dedicated to the founder of the UAE, late Sheikh Zayed bin Sultan.",nan,nan
194,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/_news_items/grad18,The 2018 Students Graduation Ceremony,"The 2018 ZU graduation ceremonies were held under The Year of Zayed theme, as many pictures of the late founder of the UAE were placed around all corners of the hall. Students have also considered a space dedicated to his legacy in their graduation speeches",nan,nan
195,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/list-initiatives,List of our Initiatives,nan,nan,nan
196,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/index,Year of Zayed 2018,nan,nan,nan
197,https://www.zu.ac.ae/main/en/year-of-zayed-initiatives/index,Year of Zayed 2018,nan,nan,nan
